run_tag,case,case_number,weather_year,season,allocation,slurm_job_name,relative_path,demand_md5,size_mb
genx__control,p5,5,2011,Summer,CONTROL -- CATS demand exactly as shipped. Baseline; taken as the true allocation.,cem_1wk_dispatch,genx__control/p5,22982260bbcb8fa719bdfb75feeeabbb,9.5
genx__control,p6,6,2012,Summer,CONTROL -- CATS demand exactly as shipped. Baseline; taken as the true allocation.,cem_1wk_dispatch,genx__control/p6,22982260bbcb8fa719bdfb75feeeabbb,9.5
genx__control,p12,12,2011,Winter,CONTROL -- CATS demand exactly as shipped. Baseline; taken as the true allocation.,cem_1wk_dispatch,genx__control/p12,42f69feadcda84463f4786a4a3a24e95,9.5
genx__control,p13,13,2012,Winter,CONTROL -- CATS demand exactly as shipped. Baseline; taken as the true allocation.,cem_1wk_dispatch,genx__control/p13,42f69feadcda84463f4786a4a3a24e95,9.5
genx__control,p19,19,2011,Spring,CONTROL -- CATS demand exactly as shipped. Baseline; taken as the true allocation.,cem_1wk_dispatch,genx__control/p19,237cef184e56a6d26d5a5e82ccad276d,9.5
genx__control,p20,20,2012,Spring,CONTROL -- CATS demand exactly as shipped. Baseline; taken as the true allocation.,cem_1wk_dispatch,genx__control/p20,237cef184e56a6d26d5a5e82ccad276d,9.5
genx__control,p26,26,2011,Fall,CONTROL -- CATS demand exactly as shipped. Baseline; taken as the true allocation.,cem_1wk_dispatch,genx__control/p26,054a8abd17faf5a78d070baccb3ebc13,9.5
genx__control,p27,27,2012,Fall,CONTROL -- CATS demand exactly as shipped. Baseline; taken as the true allocation.,cem_1wk_dispatch,genx__control/p27,054a8abd17faf5a78d070baccb3ebc13,9.5
genx__env__prox__hold__monthhour,p5,5,2011,Summer,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__env__prox__hold__monthhour/p5,2b645288a4196530cd2d8ef04374e083,9.5
genx__env__prox__hold__monthhour,p6,6,2012,Summer,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__env__prox__hold__monthhour/p6,2b645288a4196530cd2d8ef04374e083,9.5
genx__env__prox__hold__monthhour,p12,12,2011,Winter,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__env__prox__hold__monthhour/p12,67927bfb756cc041d3d9d6dbc423a7a4,9.5
genx__env__prox__hold__monthhour,p13,13,2012,Winter,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__env__prox__hold__monthhour/p13,67927bfb756cc041d3d9d6dbc423a7a4,9.5
genx__env__prox__hold__monthhour,p19,19,2011,Spring,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__env__prox__hold__monthhour/p19,cafb9dc204366f0821b13d6460a52234,9.5
genx__env__prox__hold__monthhour,p20,20,2012,Spring,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__env__prox__hold__monthhour/p20,cafb9dc204366f0821b13d6460a52234,9.5
genx__env__prox__hold__monthhour,p26,26,2011,Fall,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__env__prox__hold__monthhour/p26,971fceca45778415fbbc54a96c663904,9.5
genx__env__prox__hold__monthhour,p27,27,2012,Fall,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__env__prox__hold__monthhour/p27,971fceca45778415fbbc54a96c663904,9.5
genx__env__prox__hold__static,p5,5,2011,Summer,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model.",cem_1wk_dispatch,genx__env__prox__hold__static/p5,a657a61392c11321848c07d6f660d406,9.5
genx__env__prox__hold__static,p6,6,2012,Summer,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model.",cem_1wk_dispatch,genx__env__prox__hold__static/p6,a657a61392c11321848c07d6f660d406,9.5
genx__env__prox__hold__static,p12,12,2011,Winter,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model.",cem_1wk_dispatch,genx__env__prox__hold__static/p12,a195948301e2f3beee2fc28feaf73eb8,9.5
genx__env__prox__hold__static,p13,13,2012,Winter,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model.",cem_1wk_dispatch,genx__env__prox__hold__static/p13,a195948301e2f3beee2fc28feaf73eb8,9.5
